煮こみや なりた,ビストロ,35.683243,139.7011979,18:00～24:00,日曜・祝日・月曜,-,6000~7999,03-3355-2538,東京都渋谷区千駄ヶ谷5-20-19
トラットリア タンタボッカ （trattoria Tanta Bocca）,イタリアン,35.679647,139.7021003,11:30～14:30 / 18:00～22:30(日曜夜17:30～21:30),月曜,1000~1999,6000~7999,050-3187-6924,東京都渋谷区千駄ヶ谷4-5-1 ニュー外苑ハイツ 1F
Bistro ひつじや,地中海料理,35.6850454,139.6984884,11:30～17:30 / 17:30～24:00,-,~999,3000~3999,03-3320-3651,東京都渋谷区代々木1-59-1 オーハシビル ２Ｆ
おひつ膳 田んぼ 代々木本店,和食,35.6824012,139.6976921,11:00～23:00(日曜・祝日11:00～22:00),-,1000~1999,1000~1999,03-3320-0727,東京都渋谷区代々木1-41-9 DMK代々木ビル 1F
水たき玄海 新宿高島屋店,水炊き,35.6875617,139.7001272,11:00～23:00,不定休（高島屋に準ずる）,3000~3999,6000~7999,050-5595-2477,東京都渋谷区千駄ヶ谷5-24-2 新宿タカシマヤ 14F
ラ リベラ （La libera）,イタリアン,35.6836188,139.6986893,11:30～14:30(土曜昼12:00～15:00) / 18:00～24:00,日曜,1000~1999,5000~5999,03-3375-6422,東京都渋谷区代々木1-23-7 第三瑞穂ビル １Ｆ
グリーンスポット （GREEN SPOT）,野菜料理,35.6811679,139.700209,11:30～15:00/17:30～翌0:00,土曜・日曜・祝日,~999,6000~7999,03-3379-0013,東京都渋谷区代々木1-21-12 ヤマノ25ビル 1Ｆ
ベーカリー&レストラン 沢村 新宿,カフェ,35.6882437,139.6982901,7:00～翌1:00,-,1000~1999,~999,03-5362-7735,東京都渋谷区千駄ヶ谷 5-24-55 NEWoMan SHINJUKU 2F
ビストロ・ダルテミス （BISTRO D’ARTEMIS）,ビストロ,35.6801259,139.7019723,11:30～14:30 / 18:00～23:00,月曜・第2日曜,1000~1999,6000~7999,03-5770-7155,東京都渋谷区千駄ヶ谷4-5-11 ビクトリアプラザ １F
黒牛,焼肉,35.6764316,139.7016468,17:00～24：00,年末年始,-,8000~9999,050-5868-9524,東京都渋谷区代々木3-1-11 代々木パシフィックスクエア代々木ビル Ｂ１Ｆ
プルクル （pour-kur）,パン,35.6821935,139.6989496,8:00～19:00,月曜日※月曜祭日の場合は翌日定休,~999,~999,03-6300-5390,東京都渋谷区代々木1-28-9 代々木VILLAGE
トスカーナ 代々木店 （Italian//BarR TOSCANA）,イタリアン,35.6842505,139.6983071,11:30～23:00(日曜・祝日11:30～22:30),-,1000~1999,3000~3999,050-5890-2939,東京都渋谷区代々木1-53-4 田尻ビル 2F
寿司 高瀬,寿司,35.6816183,139.7014336,11:30～14:00 / 17:00～22:30,水曜,1000~1999,6000~7999,050-5590-4525,東京都渋谷区千駄ヶ谷4-26-11 代々木TH&Cビル 2F
ウォータリングホール （Watering Hole）,ビアバー,35.6851783,139.7012973,15:00～23:30,-,3000~3999,4000~4999,03-6380-6115,東京都渋谷区千駄ヶ谷5-26-5 代々木シティホームズ 1F
アジアンスマイル （Asian Smile）,タイ料理,35.6852473,139.6684665,11:00～16:00 / 17:30～23:00,土曜・日曜・祝日,~999,1000~1999,03-6300-4117,東京都渋谷区代々木1-36-6 代々木駅前ビル B1F
珈琲専門店 TOM,喫茶店,35.6837424,139.6988764,9:00～22:00(土曜12:00～19:30),日曜,~999,~999,03-3379-2309,東京都渋谷区代々木1-37-3 岩崎ビル １Ｆ
セストセンソ 新宿タカシマヤ店,イタリアン,35.6877023,139.7001353,11:00～23:00,-,2000~2999,4000~4999,050-5590-5067,東京都渋谷区千駄ヶ谷5-24-2 新宿タカシマヤ 13F
シュラスコレストラン ALEGRIA shinjuku,ブラジル料理,35.6851903,139.7021443,12：00～14：30(土曜・日曜・祝日12：00～15：00) / 17：00～23：00,年末年始・8月5日,2000~2999,6000~7999,050-5593-9921,東京都渋谷区千駄ヶ谷5-30-10 MEPOⅡ 2F
ソムタムダー トウキョウ （SomtumDer TOKYO）,タイ料理,35.6845343,139.6981853,11:30～15:00 / 17:00～23:00,-,1000~1999,4000~4999,03-3379-5379,東京都渋谷区代々木1-58-10 松井ビル 1F
プティデリリウム タップ カフェ,ビアバー,35.6859143,139.6985783,11:00～23:00,-,1000~1999,5000~5999,050-5592-5195,東京都渋谷区代々木2-2-1 新宿サザンテラス内 (新宿サザンテラス)
ごちそうとん汁,和食,35.6826299,139.7001908,11:30～24:00,-,~999,1000~1999,03-6883-9181,東京都渋谷区代々木1-33-2
志乃ぶ,割烹・小料理,35.6802835,139.6942991,11:30～14:30 / 18:00～23:00,-,~999,3000~3999,03-3379-5848,東京都渋谷区代々木1-21-12 ガイヤビル 1F